time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,0.000000,0.000001,0.000000,0.000762
0.010000,0.000000,0.000015,0.000002,0.002103
0.015000,0.000000,0.000026,0.000005,0.002921
0.020000,0.000000,-0.000031,0.000011,-0.008004
0.025000,0.000000,-0.000077,0.000018,-0.007419
0.030000,0.000000,-0.000105,0.000019,-0.006805
0.035000,0.000000,-0.000144,0.000009,-0.005964
0.040000,0.000000,-0.000139,-0.000017,-0.004016
0.045000,0.000000,-0.000160,-0.000061,-0.004217
0.050000,-0.000000,-0.000148,-0.000123,-0.000383
0.055000,-0.000001,-0.000155,-0.000198,-0.003818
0.060000,-0.000002,-0.000386,-0.000283,-0.013529
0.065000,-0.000004,-0.000463,-0.000374,-0.015932
0.070000,-0.000006,-0.000423,-0.000464,-0.011703
0.075000,-0.000009,-0.000487,-0.000546,-0.009786
0.080000,-0.000012,-0.000150,-0.000617,0.004228
0.085000,-0.000015,-0.000125,-0.000674,0.003435
0.090000,-0.000019,0.000245,-0.000720,0.014206
0.095000,-0.000022,0.000326,-0.000759,0.011315
0.100000,-0.000026,0.000525,-0.000795,0.014869
0.105000,-0.000030,-0.004179,-0.000828,0.026565
0.110000,-0.000035,-0.004279,-0.000860,0.019492
0.115000,-0.000039,-0.004171,-0.000891,0.017537
0.120000,-0.000043,-0.004117,-0.000918,0.015831
0.125000,-0.000048,-0.004017,-0.000941,0.018019
0.130000,-0.000053,-0.003870,-0.000960,0.019936
0.135000,-0.000058,-0.003746,-0.000974,0.021189
0.140000,-0.000063,-0.003650,-0.000981,0.019895
0.145000,-0.000068,-0.003533,-0.000982,0.018237
0.150000,-0.000072,-0.003751,-0.000976,0.011936
0.155000,-0.000077,-0.003684,-0.000962,0.008525
0.160000,-0.000082,-0.004472,-0.000942,-0.009066
0.165000,-0.000087,-0.004523,-0.000913,-0.009694
0.170000,-0.000091,-0.004550,-0.000875,-0.013324
0.175000,-0.000095,-0.004634,-0.000828,-0.015083
0.180000,-0.000099,-0.004451,-0.000775,-0.010559
0.185000,-0.000103,-0.004507,-0.000722,-0.008844
0.190000,-0.000107,-0.004033,-0.000670,-0.002167
0.195000,-0.000110,-0.004047,-0.000618,-0.002173
0.200000,-0.000113,-0.003844,-0.000568,0.001906
0.205000,-0.000115,-0.008969,-0.000523,-0.000246
0.210000,-0.000118,-0.008923,-0.000485,-0.002282
0.215000,-0.000120,-0.008936,-0.000455,-0.000487
0.220000,-0.000122,-0.008816,-0.000434,0.002330
0.225000,-0.000125,-0.008805,-0.000422,0.001718
0.230000,-0.000127,-0.008897,-0.000418,-0.003316
0.235000,-0.000129,-0.008909,-0.000420,-0.000503
0.240000,-0.000131,-0.008688,-0.000428,0.002624
0.245000,-0.000133,-0.008665,-0.000438,0.004915
0.250000,-0.000135,-0.009476,-0.000448,-0.011235
0.255000,-0.000137,-0.009548,-0.000451,-0.012226
0.260000,-0.000140,-0.010419,-0.000446,-0.027292
0.265000,-0.000142,-0.010587,-0.000429,-0.030226
0.270000,-0.000144,-0.010473,-0.000403,-0.025135
0.275000,-0.000146,-0.010630,-0.000371,-0.027767
0.280000,-0.000148,-0.010667,-0.000334,-0.029312
0.285000,-0.000149,-0.010849,-0.000296,-0.031454
0.290000,-0.000151,-0.010993,-0.000263,-0.034609
0.295000,-0.000152,-0.011204,-0.000238,-0.034690
0.300000,-0.000153,-0.011485,-0.000225,-0.036151
0.305000,-0.000154,-0.017772,-0.000222,-0.035067
0.310000,-0.000155,-0.017694,-0.000227,-0.030064
0.314999,-0.000156,-0.017868,-0.000238,-0.031085
0.319999,-0.000158,-0.017827,-0.000254,-0.027723
0.324999,-0.000159,-0.017996,-0.000278,-0.026731
0.329999,-0.000160,-0.018450,-0.000307,-0.035091
0.334999,-0.000162,-0.018655,-0.000340,-0.033423
0.339999,-0.000164,-0.019696,-0.000377,-0.051013
0.344999,-0.000166,-0.020005,-0.000418,-0.052863
0.349999,-0.000168,-0.020371,-0.000463,-0.057314
0.354999,-0.000171,-0.020716,-0.000511,-0.057535
0.359999,-0.000173,-0.020995,-0.000558,-0.060234
0.364999,-0.000176,-0.021362,-0.000604,-0.065745
0.369999,-0.000179,-0.021256,-0.000646,-0.061606
0.374999,-0.000183,-0.021628,-0.000679,-0.062134
0.379999,-0.000186,-0.021800,-0.000700,-0.061137
0.384999,-0.000190,-0.022168,-0.000711,-0.061555
0.389999,-0.000193,-0.022439,-0.000714,-0.063485
0.394998,-0.000197,-0.022828,-0.000712,-0.067088
0.399998,-0.000200,-0.022680,-0.000706,-0.057979
0.404998,-0.000204,-0.019012,-0.000698,-0.036225
0.409998,-0.000207,-0.019072,-0.000686,-0.033625
0.414998,-0.000211,-0.019281,-0.000669,-0.036657
0.419998,-0.000214,-0.019253,-0.000647,-0.032263
0.424998,-0.000217,-0.019450,-0.000620,-0.032536
0.429998,-0.000220,-0.019644,-0.000588,-0.035441
0.434998,-0.000223,-0.019867,-0.000550,-0.040514
0.439998,-0.000226,-0.020254,-0.000507,-0.046094
0.444998,-0.000228,-0.020528,-0.000457,-0.045934
0.449998,-0.000230,-0.021322,-0.000399,-0.059913
0.454998,-0.000232,-0.021678,-0.000332,-0.057264
0.459998,-0.000233,-0.021841,-0.000261,-0.054454
0.464998,-0.000234,-0.022166,-0.000188,-0.052469
0.469997,-0.000235,-0.021568,-0.000116,-0.035915
0.474997,-0.000235,-0.021793,-0.000051,-0.036713
0.479997,-0.000236,-0.021538,0.000005,-0.026547
0.484997,-0.000235,-0.021707,0.000047,-0.028138
0.489997,-0.000235,-0.022103,0.000075,-0.032191
0.494997,-0.000235,-0.022308,0.000090,-0.035834
0.499997,-0.000234,-0.022286,0.000098,-0.035789
0.504997,-0.000234,-0.019186,0.000107,-0.019689
0.509997,-0.000233,-0.019216,0.000120,-0.018542
0.514997,-0.000232,-0.019327,0.000141,-0.018788
0.519997,-0.000232,-0.019375,0.000172,-0.018488
0.524997,-0.000231,-0.019488,0.000214,-0.020941
0.529997,-0.000229,-0.019601,0.000270,-0.021672
0.534997,-0.000228,-0.019732,0.000338,-0.023082
0.539997,-0.000226,-0.019894,0.000419,-0.025072
0.544997,-0.000224,-0.020049,0.000513,-0.028393
0.549996,-0.000221,-0.019978,0.000619,-0.023390
0.554996,-0.000217,-0.020128,0.000735,-0.027200
0.559996,-0.000213,-0.019898,0.000856,-0.020573
0.564996,-0.000209,-0.020018,0.000974,-0.021138
0.569996,-0.000203,-0.020687,0.001081,-0.034826
0.574996,-0.000198,-0.020900,0.001173,-0.037714
0.579996,-0.000192,-0.021070,0.001245,-0.038338
0.584996,-0.000185,-0.021297,0.001294,-0.035858
0.589996,-0.000179,-0.021818,0.001320,-0.042555
0.594996,-0.000172,-0.022078,0.001324,-0.045048
0.599996,-0.000165,-0.022616,0.001308,-0.054284
0.604996,-0.000159,0.000173,0.001272,-0.033489
0.609996,-0.000153,0.000006,0.001224,-0.037334
0.614996,-0.000147,-0.000220,0.001171,-0.039133
0.619996,-0.000141,-0.000322,0.001121,-0.036063
0.624996,-0.000136,-0.000543,0.001077,-0.038407
0.629995,-0.000130,-0.000880,0.001041,-0.045900
0.634995,-0.000125,-0.001154,0.001013,-0.045187
0.639995,-0.000120,-0.001723,0.000994,-0.058393
0.644995,-0.000115,-0.002079,0.000986,-0.059366
0.649995,-0.000110,-0.001988,0.000988,-0.051165
0.654995,-0.000105,-0.002288,0.000997,-0.049633
0.659995,-0.000100,-0.002422,0.001008,-0.046729
0.664995,-0.000095,-0.002709,0.001017,-0.047984
0.669995,-0.000090,-0.003130,0.001020,-0.054229
0.674995,-0.000085,-0.003460,0.001020,-0.056983
0.679995,-0.000080,-0.004511,0.001022,-0.075208
0.684995,-0.000075,-0.004965,0.001031,-0.077342
0.689995,-0.000070,-0.004480,0.001046,-0.059449
0.694995,-0.000064,-0.004838,0.001068,-0.058509
0.699995,-0.000059,-0.005981,0.001095,-0.078399
0.704994,-0.000053,-0.000178,0.001122,-0.068589
0.709994,-0.000048,-0.000412,0.001147,-0.058197
0.714994,-0.000042,-0.000771,0.001170,-0.060273
0.719994,-0.000036,-0.001052,0.001191,-0.065039
0.724994,-0.000030,-0.001444,0.001206,-0.065410
0.729994,-0.000024,-0.001794,0.001208,-0.070673
0.734994,-0.000018,-0.002224,0.001192,-0.073152
0.739994,-0.000012,-0.002307,0.001155,-0.064210
0.744994,-0.000007,-0.002695,0.001098,-0.064526
0.749994,-0.000001,-0.002959,0.001020,-0.064878
0.754994,0.000004,-0.003353,0.000926,-0.067807
0.759994,0.000008,-0.003539,0.000818,-0.068585
0.764994,0.000012,-0.003959,0.000705,-0.069332
0.769994,0.000015,-0.003949,0.000594,-0.059440
0.774994,0.000017,-0.004312,0.000488,-0.059873
0.779994,0.000020,-0.004435,0.000389,-0.057712
0.784993,0.000021,-0.004780,0.000296,-0.055077
0.789993,0.000022,-0.005324,0.000207,-0.062730
0.794993,0.000023,-0.005706,0.000122,-0.066557
0.799993,0.000024,-0.006375,0.000036,-0.075863
0.804993,0.000023,0.008988,-0.000053,-0.045747
0.809993,0.000023,0.008763,-0.000147,-0.029132
0.814993,0.000022,0.008584,-0.000247,-0.030867
0.819993,0.000020,0.008627,-0.000350,-0.006899
0.824993,0.000018,0.008579,-0.000451,-0.011377
0.829993,0.000016,0.008357,-0.000547,-0.023464
0.834993,0.000013,0.008215,-0.000636,-0.021959
0.839993,0.000009,0.008248,-0.000719,-0.016259
0.844993,0.000006,0.008147,-0.000794,-0.017206
0.849993,0.000001,0.008148,-0.000865,-0.015060
0.854993,-0.000003,0.008060,-0.000930,-0.014558
0.859993,-0.000008,0.007712,-0.000989,-0.022338
0.864992,-0.000013,0.007586,-0.001045,-0.019692
0.869992,-0.000019,0.007294,-0.001096,-0.026885
0.874992,-0.000024,0.007129,-0.001145,-0.028814
0.879992,-0.000030,0.007100,-0.001195,-0.027207
0.884992,-0.000036,0.006930,-0.001247,-0.031299
0.889992,-0.000043,0.006648,-0.001305,-0.034024
0.894992,-0.000049,0.006439,-0.001369,-0.037483
0.899992,-0.000056,0.006674,-0.001436,-0.030348
0.904992,-0.000064,0.009484,-0.001506,-0.018523
0.909992,-0.000071,0.009464,-0.001580,-0.025272
0.914992,-0.000080,0.009308,-0.001661,-0.027086
0.919992,-0.000088,0.009203,-0.001754,-0.025599
0.924992,-0.000097,0.009045,-0.001860,-0.025725
0.929992,-0.000107,0.008911,-0.001980,-0.028713
0.934992,-0.000117,0.008742,-0.002120,-0.029373
0.939991,-0.000128,0.008844,-0.002279,-0.020279
0.944991,-0.000140,0.008723,-0.002454,-0.020834
0.949991,-0.000153,0.008583,-0.002641,-0.023019
0.954991,-0.000167,0.008440,-0.002831,-0.023076
0.959991,-0.000182,0.007914,-0.003013,-0.037650
0.964991,-0.000197,0.007690,-0.003183,-0.036865
0.969991,-0.000213,0.007563,-0.003336,-0.037373
0.974991,-0.000231,0.007333,-0.003466,-0.040758
0.979991,-0.000248,0.007292,-0.003572,-0.039089
0.984991,-0.000266,0.007058,-0.003651,-0.039407
0.989991,-0.000285,0.006601,-0.003706,-0.050069
0.994991,-0.000303,0.006301,-0.003737,-0.050396
0.999991,-0.000322,0.006642,-0.003746,-0.039141
1.004991,-0.000341,-0.003747,-0.003735,-0.044714
1.009991,-0.000359,-0.003892,-0.003712,-0.048806
1.014991,-0.000378,-0.004189,-0.003679,-0.051131
1.019992,-0.000396,-0.004414,-0.003641,-0.043919
1.024992,-0.000414,-0.004680,-0.003600,-0.043805
1.029992,-0.000432,-0.004844,-0.003557,-0.042566
1.034992,-0.000450,-0.005103,-0.003513,-0.044109
1.039993,-0.000467,-0.005123,-0.003465,-0.034876
1.044993,-0.000484,-0.005323,-0.003408,-0.031841
1.049993,-0.000501,-0.005561,-0.003339,-0.035474
1.054993,-0.000518,-0.005772,-0.003257,-0.036787
1.059994,-0.000534,-0.005895,-0.003163,-0.036856
1.064994,-0.000549,-0.006113,-0.003058,-0.036941
1.069994,-0.000564,-0.006550,-0.002943,-0.043239
1.074994,-0.000578,-0.006811,-0.002818,-0.043443
1.079994,-0.000592,-0.006902,-0.002685,-0.042492
1.084995,-0.000605,-0.007164,-0.002548,-0.045030
1.089995,-0.000617,-0.007617,-0.002409,-0.052384
1.094995,-0.000629,-0.007933,-0.002270,-0.052456
1.099995,-0.000640,-0.008278,-0.002130,-0.057986
1.104996,-0.000650,-0.000169,-0.001984,-0.051428
1.109996,-0.000660,-0.000575,-0.001828,-0.040583
1.114996,-0.000668,-0.000824,-0.001658,-0.040244
1.119996,-0.000676,-0.000964,-0.001476,-0.043771
1.124997,-0.000683,-0.001232,-0.001281,-0.046657
1.129997,-0.000689,-0.001415,-0.001076,-0.044561
1.134997,-0.000693,-0.001685,-0.000862,-0.044354
1.139997,-0.000697,-0.001974,-0.000643,-0.054441
1.144997,-0.000700,-0.002306,-0.000423,-0.058693
1.149998,-0.000701,-0.002683,-0.000202,-0.068588
1.154998,-0.000701,-0.003101,0.000015,-0.070590
1.159998,-0.000701,-0.003552,0.000223,-0.077586
1.164998,-0.000699,-0.004026,0.000418,-0.079854
1.169999,-0.000696,-0.004454,0.000600,-0.083628
1.174999,-0.000693,-0.004953,0.000778,-0.081703
1.179999,-0.000688,-0.005373,0.000956,-0.084113
1.184999,-0.000683,-0.005882,0.001142,-0.087865
1.190000,-0.000677,-0.006850,0.001339,-0.101961
1.195000,-0.000670,-0.007455,0.001549,-0.101354
1.200000,-0.000661,-0.007865,0.001770,-0.102672
1.205000,-0.000652,0.027724,0.001999,-0.049395
1.210001,-0.000641,0.027709,0.002230,-0.059079
1.215001,-0.000629,0.027356,0.002458,-0.060292
1.220001,-0.000616,0.027092,0.002672,-0.057654
1.225001,-0.000602,0.026739,0.002867,-0.059964
1.230001,-0.000587,0.026490,0.003039,-0.066878
1.235002,-0.000572,0.026091,0.003187,-0.066953
1.240002,-0.000555,0.025988,0.003311,-0.049962
1.245002,-0.000538,0.025690,0.003416,-0.048835
1.250002,-0.000521,0.025584,0.003509,-0.044435
1.255003,-0.000503,0.025321,0.003596,-0.044852
1.260003,-0.000485,0.025378,0.003676,-0.036966
1.265003,-0.000466,0.025153,0.003750,-0.037911
1.270003,-0.000448,0.024619,0.003815,-0.050639
1.275004,-0.000428,0.024315,0.003867,-0.051138
1.280004,-0.000409,0.023962,0.003899,-0.054921
1.285004,-0.000389,0.023625,0.003908,-0.058489
1.290004,-0.000370,0.023340,0.003889,-0.061405
1.295004,-0.000350,0.022970,0.003845,-0.064028
1.300005,-0.000331,0.022692,0.003778,-0.065115
1.305005,-0.000313,0.032314,0.003692,-0.053836
1.310005,-0.000295,0.031854,0.003587,-0.044096
1.315005,-0.000277,0.031590,0.003468,-0.045209
1.320006,-0.000260,0.031463,0.003336,-0.049156
1.325006,-0.000244,0.031158,0.003192,-0.053243
1.330006,-0.000228,0.030937,0.003036,-0.066069
1.335006,-0.000214,0.030539,0.002869,-0.069451
1.340007,-0.000200,0.030170,0.002698,-0.080001
1.345007,-0.000187,0.029683,0.002530,-0.082833
1.350007,-0.000175,0.029407,0.002365,-0.079902
1.355007,-0.000163,0.028929,0.002206,-0.080477
1.360008,-0.000153,0.028776,0.002057,-0.074683
1.365008,-0.000143,0.028324,0.001919,-0.076134
1.370008,-0.000134,0.028262,0.001790,-0.069246
1.375008,-0.000125,0.027839,0.001670,-0.071650
1.380008,-0.000117,0.027701,0.001561,-0.067241
1.385009,-0.000110,0.027292,0.001463,-0.069886
1.390009,-0.000103,0.027622,0.001372,-0.053630
1.395009,-0.000096,0.027300,0.001288,-0.054976
1.400009,-0.000090,0.027312,0.001209,-0.048473
1.405010,-0.000084,0.026667,0.001135,-0.047874
1.410010,-0.000078,0.026342,0.001067,-0.045003
1.415010,-0.000073,0.026077,0.001002,-0.041812
1.420010,-0.000069,0.026006,0.000939,-0.051346
1.425011,-0.000064,0.025695,0.000878,-0.054267
1.430011,-0.000060,0.025455,0.000818,-0.042502
1.435011,-0.000056,0.025205,0.000766,-0.042352
1.440011,-0.000052,0.025066,0.000724,-0.039472
1.445011,-0.000049,0.024830,0.000695,-0.041482
1.450012,-0.000045,0.024620,0.000681,-0.045082
1.455012,-0.000042,0.024337,0.000682,-0.048672
1.460012,-0.000038,0.024091,0.000700,-0.052551
1.465012,-0.000035,0.023777,0.000734,-0.052579
1.470013,-0.000031,0.023206,0.000783,-0.066628
1.475013,-0.000027,0.022802,0.000845,-0.069957
1.480013,-0.000022,0.022342,0.000916,-0.077559
1.485013,-0.000018,0.021874,0.000995,-0.079539
1.490014,-0.000012,0.021693,0.001077,-0.076872
1.495014,-0.000007,0.021221,0.001157,-0.079435
1.500014,-0.000001,0.021009,0.001227,-0.079249
1.505014,0.000006,0.027656,0.001283,-0.062280
1.510015,0.000012,0.027398,0.001324,-0.063203
1.515015,0.000019,0.027011,0.001350,-0.067956
1.520015,0.000026,0.026889,0.001364,-0.079138
1.525015,0.000032,0.026413,0.001371,-0.079860
1.530015,0.000039,0.026067,0.001376,-0.074675
1.535016,0.000046,0.025620,0.001387,-0.073170
1.540016,0.000053,0.025372,0.001407,-0.069240
1.545016,0.000060,0.024953,0.001438,-0.070885
1.550016,0.000068,0.024675,0.001475,-0.071418
1.555017,0.000075,0.024242,0.001515,-0.073189
1.560017,0.000083,0.023518,0.001550,-0.095237
1.565017,0.000091,0.022945,0.001578,-0.096419
1.570017,0.000099,0.022858,0.001600,-0.086212
1.575018,0.000107,0.022336,0.001613,-0.088759
1.580018,0.000115,0.021692,0.001616,-0.100950
1.585018,0.000123,0.021085,0.001608,-0.101936
1.590018,0.000131,0.020531,0.001595,-0.108488
1.595019,0.000139,0.019875,0.001574,-0.110909
1.600019,0.000146,0.019826,0.001544,-0.102430
1.605019,0.000154,0.047778,0.001504,-0.061721
1.610019,0.000161,0.047450,0.001451,-0.063241
1.615019,0.000169,0.047064,0.001385,-0.065434
1.620020,0.000175,0.046815,0.001309,-0.070801
1.625020,0.000182,0.046396,0.001229,-0.070022
1.630020,0.000187,0.046118,0.001151,-0.072483
1.635020,0.000193,0.045682,0.001082,-0.074839
1.640021,0.000198,0.045360,0.001024,-0.080920
1.645021,0.000203,0.044874,0.000977,-0.080130
1.650021,0.000208,0.044424,0.000936,-0.089091
1.655021,0.000213,0.043893,0.000901,-0.089439
1.660022,0.000217,0.043252,0.000870,-0.104181
1.665022,0.000221,0.042623,0.000839,-0.107220
1.670022,0.000225,0.042207,0.000807,-0.106397
1.675022,0.000229,0.041565,0.000773,-0.109286
1.680022,0.000233,0.041451,0.000739,-0.100682
1.685023,0.000237,0.040842,0.000702,-0.101552
1.690023,0.000240,0.040254,0.000661,-0.110156
1.695023,0.000243,0.039589,0.000615,-0.112401
1.700023,0.000246,0.039176,0.000564,-0.111453
1.705024,0.000249,0.028199,0.000506,-0.089591
1.710024,0.000251,0.027803,0.000444,-0.091196
1.715024,0.000253,0.027248,0.000378,-0.094300
1.720024,0.000255,0.026905,0.000310,-0.096561
1.725025,0.000256,0.026329,0.000240,-0.097374
1.730025,0.000257,0.025970,0.000168,-0.103959
1.735025,0.000258,0.025340,0.000093,-0.105406
1.740025,0.000258,0.024929,0.000018,-0.104294
1.745026,0.000258,0.024298,-0.000056,-0.107754
1.750026,0.000257,0.023842,-0.000123,-0.112261
1.755026,0.000257,0.023163,-0.000184,-0.114913
1.760026,0.000255,0.022660,-0.000240,-0.118829
1.765026,0.000254,0.021951,-0.000295,-0.116867
1.770027,0.000252,0.021568,-0.000350,-0.112394
1.775027,0.000250,0.020899,-0.000408,-0.113482
1.780027,0.000248,0.020500,-0.000463,-0.112250
1.785027,0.000246,0.019826,-0.000516,-0.113022
1.790028,0.000243,0.019622,-0.000564,-0.106862
1.795028,0.000240,0.018976,-0.000603,-0.109546
1.800028,0.000237,0.018364,-0.000630,-0.115848
1.805028,0.000234,0.041732,-0.000647,-0.083865
1.810029,0.000231,0.041121,-0.000662,-0.076256
1.815029,0.000227,0.040658,-0.000678,-0.079846
1.820029,0.000224,0.040313,-0.000699,-0.080611
1.825029,0.000220,0.039836,-0.000724,-0.078103
1.830029,0.000216,0.039503,-0.000750,-0.075553
1.835030,0.000213,0.039053,-0.000772,-0.075321
