time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000241,0.300030
0.010000,0.000819,0.300057
0.015000,0.002288,0.300106
0.020000,0.003664,0.300144
0.025000,0.006317,0.300212
0.030000,0.008503,0.300263
0.035000,0.012354,0.300350
0.040000,0.015307,0.300415
0.045000,0.020302,0.300521
0.050000,0.024035,0.300599
0.055000,0.030190,0.300726
0.060000,0.034698,0.300817
0.065000,0.042063,0.300965
0.070000,0.047343,0.301070
0.075000,0.055883,0.301239
0.080000,0.061971,0.301359
0.085000,0.071709,0.301549
0.090000,0.078626,0.301683
0.095000,0.089642,0.301895
0.100000,0.097395,0.302044
0.105000,0.012518,0.301257
0.110000,0.015440,0.301339
0.115000,0.021199,0.301466
0.120000,0.025771,0.301555
0.125000,0.033457,0.301693
0.130000,0.039060,0.301788
0.135000,0.048128,0.301938
0.140000,0.054598,0.302041
0.145000,0.064930,0.302202
0.150000,0.072248,0.302313
0.155000,0.083842,0.302486
0.160000,0.092011,0.302606
0.165000,0.104837,0.302791
0.170000,0.113802,0.302919
0.175000,0.127866,0.303118
0.180000,0.137664,0.303255
0.185000,0.152956,0.303467
0.190000,0.163513,0.303613
0.195000,0.179930,0.303839
0.200000,0.191246,0.303994
0.205000,0.012298,0.302934
0.210000,0.009295,0.303031
0.215000,0.012026,0.303182
0.220000,0.017348,0.303286
0.225000,0.027358,0.303445
0.230000,0.034766,0.303554
0.235000,0.046618,0.303723
0.240000,0.054933,0.303839
0.245000,0.068110,0.304017
0.250000,0.077384,0.304139
0.255000,0.091746,0.304328
0.260000,0.101801,0.304457
0.265000,0.117395,0.304656
0.270000,0.128169,0.304792
0.275000,0.144917,0.305003
0.280000,0.156455,0.305147
0.285000,0.174373,0.305368
0.290000,0.186718,0.305520
0.295000,0.205830,0.305754
0.300000,0.218991,0.305913
0.305000,0.034606,0.304710
0.310000,0.028479,0.304815
0.314999,0.021474,0.304975
0.319999,0.019808,0.305085
0.324999,0.024326,0.305253
0.329999,0.030959,0.305369
0.334999,0.043235,0.305546
0.339999,0.052816,0.305667
0.344999,0.067747,0.305853
0.349999,0.078328,0.305980
0.354999,0.094898,0.306176
0.359999,0.106435,0.306310
0.364999,0.124414,0.306515
0.369999,0.136808,0.306656
0.374999,0.156151,0.306872
0.379999,0.169447,0.307019
0.384999,0.190010,0.307246
0.389999,0.204102,0.307401
0.394998,0.225870,0.307639
0.399998,0.240776,0.307802
0.404998,0.044198,0.306517
0.409998,0.036216,0.306625
0.414998,0.025649,0.306790
0.419998,0.021139,0.306902
0.424998,0.023126,0.307075
0.429998,0.029827,0.307193
0.434998,0.043690,0.307374
0.439998,0.054361,0.307498
0.444998,0.071422,0.307688
0.449998,0.083567,0.307817
0.454998,0.102306,0.308017
0.459998,0.115234,0.308152
0.464998,0.135303,0.308361
0.469997,0.148985,0.308504
0.474997,0.170291,0.308723
0.479997,0.184856,0.308872
0.484997,0.207423,0.309102
0.489997,0.222911,0.309258
0.494997,0.246699,0.309499
0.499997,0.262942,0.309663
0.504997,0.036477,0.308332
0.509997,0.029702,0.308441
0.514997,0.025110,0.308608
0.519997,0.027760,0.308722
0.524997,0.038744,0.308897
0.529997,0.048654,0.309016
0.534997,0.065460,0.309199
0.539997,0.077565,0.309323
0.544997,0.096694,0.309515
0.549996,0.109965,0.309645
0.554996,0.130611,0.309846
0.559996,0.144759,0.309983
0.564996,0.166656,0.310193
0.569996,0.181752,0.310336
0.574996,0.204895,0.310557
0.579996,0.220753,0.310707
0.584996,0.245167,0.310937
0.589996,0.261865,0.311095
0.594996,0.287474,0.311336
0.599996,0.305005,0.311501
0.604996,0.066500,0.310145
0.609996,0.056720,0.310254
0.614996,0.041955,0.310422
0.619996,0.032446,0.310536
0.624996,0.020964,0.310712
0.629995,0.019009,0.310831
0.634995,0.028181,0.311015
0.639995,0.038522,0.311140
0.644995,0.056343,0.311332
0.649995,0.069103,0.311463
0.654995,0.089189,0.311664
0.659995,0.103102,0.311801
0.664995,0.124632,0.312011
0.669995,0.139449,0.312155
0.674995,0.162305,0.312375
0.679995,0.177963,0.312525
0.684995,0.202006,0.312756
0.689995,0.218421,0.312914
0.694995,0.243668,0.313155
0.699995,0.260920,0.313320
0.704994,0.066688,0.311951
0.709994,0.055891,0.312061
0.714994,0.039179,0.312228
0.719994,0.027797,0.312343
0.724994,0.011322,0.312518
0.729994,0.008037,0.312637
